X,Y,OBJECTID,COUNTY,DESCRIPTION_BSL,DIRECTION_OP,DLAT_GIS,DLONG_GIS,LINE,MUNICIPALITY,STOP_NUM,STOP_TYPE,STREET_DIR,HEADING
-8251668.981,5000417.9805,1,Bergen,BROADWAY AT ORANGE AVE,Ou,40.91908,-74.12599,770,ELMWOOD PARK,11483,FS,W,251
-8251913.3009,5000333.578,2,Bergen,RT-4 AT STERLING ST,Ou,40.9185,-74.12818,770,ELMWOOD PARK,11484,NS,W,250
-8251393.2476,4996602.2084,3,Bergen,US-46 at BANK ST,In,40.89324,-74.12352,151,ELMWOOD PARK,11485,NS,E,98
-8251393.2476,4996602.2084,4,Bergen,US-46 at BANK ST,In,40.89324,-74.12352,161,ELMWOOD PARK,11485,NS,E,98
-8250715.5611,4996594.4626,5,Bergen,US-46 at MILL ST,In,40.89318,-74.11744,151,ELMWOOD PARK,11486,NS,E,88
-8250715.5611,4996594.4626,6,Bergen,US-46 at MILL ST,In,40.89318,-74.11744,161,ELMWOOD PARK,11486,NS,E,88
-8250161.2512,4996616.097,7,Bergen,US-46 AT MOLA BLVD,In,40.89331,-74.11246,151,ELMWOOD PARK,11487,FS,E,88
-8250161.2512,4996616.097,8,Bergen,US-46 AT MOLA BLVD,In,40.89331,-74.11246,161,ELMWOOD PARK,11487,FS,E,88
-8249576.2365,4996605.8479,9,Bergen,US-46 at MEYER ST,Ou,40.89321,-74.10721,151,ELMWOOD PARK,11488,FS,W,282
-8249576.2365,4996605.8479,10,Bergen,US-46 at MEYER ST,Ou,40.89321,-74.10721,161,ELMWOOD PARK,11488,FS,W,282
-8250418.4567,4996645.9526,11,Bergen,US-46 278'W OF MOLA BLVD/MILL ST,Ou,40.89347,-74.11477,151,ELMWOOD PARK,11489,MB,W,270
-8250418.4567,4996645.9526,12,Bergen,US-46 278'W OF MOLA BLVD/MILL ST,Ou,40.89347,-74.11477,161,ELMWOOD PARK,11489,MB,W,270
-8250787.0937,4996633.0357,13,Bergen,US-46 at MILL ST,Ou,40.89338,-74.11808,151,ELMWOOD PARK,11490,FS,W,268
-8250787.0937,4996633.0357,14,Bergen,US-46 at MILL ST,Ou,40.89338,-74.11808,161,ELMWOOD PARK,11490,FS,W,268
-8251376.5184,4996641.6348,15,Bergen,US-46 AT BANK ST,Ou,40.89344,-74.12338,151,ELMWOOD PARK,11491,NS,W,274
-8251376.5184,4996641.6348,16,Bergen,US-46 AT BANK ST,Ou,40.89344,-74.12338,161,ELMWOOD PARK,11491,NS,W,274
-8240367.8135,5009716.5833,17,Bergen,KINDERKAMACK RD AT VAN WAGONER AVE,In,40.9822,-74.02449,165,EMERSON,11499,MB,S,175
